"","X","ID","Strain.x","ident","Age","Weight.x","mediantemps","Date.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid.x","Age.dpc.","Date.y","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","nid.y"
"13",13,"shh_14.0_05_220_DE","DUHi",114,14,220,14.695,"03/04/14","DE",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"220DE",14.5,"12/17/2013","DUHi",220,"DG",3,FALSE,14.5,5.39362754635236,"DG",-0.5,5.1590834999859,14.4264343582803,14.8642552814553,5.29277360641479,14.67599228449,14.7637978317482,14.4180084446834,15.1249948643101,"001",14.8390856998969,14.4801582898599,"220DG"
"14",14,"shh_14.0_06_171-178_FB","FVB",361,14,174.5,14.1,"05/06/14","FB",0,0,0,0,0,1,"0_0_0_1","162_0_0_0_1","Y",162,"174.5FB",14,"5/6/2014","FVB",175,"FB",3,FALSE,14,5.16478597392351,"FB",-1,5.14556157413724,14.0827400051727,14.1243170930351,5.15651948201542,14.1064389452543,14.1268039083035,13.7143898649318,14.5305686475572,"001",14.1189209146914,14.0836933209713,"175FB"
"15",15,"shh_14.5_02_193-197_FC","FVB",405,14.5,195,14.438,"4/23/14","FC",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"195FC",14.5,"4/23/2014","FVB",178,"FC",4,TRUE,14.5,5.18178355029209,"FC",-0.5,5.21660752850993,14.2363928588409,14.1610781744722,5.19675786092576,14.1934634887507,14.1796824409913,13.766077388625,14.5721945872329,"001",14.1571450475751,14.2327700389615,"178FC"
"16",16,"shh_14.5_03_199-207_FC","FVB",406,14.5,199,14.478,"4/23/14","FC",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"203FC",14.5,"4/23/2014","FVB",193,"FC",4,FALSE,14.5,5.26269018890489,"FC",-0.5,5.29751416712273,14.4113716597215,14.3360569753529,5.27766449953856,14.3684422896314,14.3548074280587,13.9469517408672,14.7455589605514,"001",14.3321707506562,14.4073979171928,"193FC"
"17",17,"shh_14.5_04_199-207_FC","FVB",407,14.5,203,14.532,"4/23/14","FC",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"203FC",14.5,"4/23/2014","FVB",197,"FC",4,FALSE,14.5,5.28320372873799,"FC",-0.5,5.31802770695583,14.4557368028464,14.3804221184778,5.29817803937166,14.4128074327563,14.3995050874524,13.9923653840702,14.7884808779972,"001",14.3766616785214,14.4517594009514,"197FC"
"18",18,"shh_14.5_04_255-256_DG","DUHi",120,14.5,255.5,14.725,"12/17/2013","DG",1,2,0,1,0,1,"1_2_1_1","227_1_2_1_1","-",227,"255.5DG",14.5,"12/17/2013","DUHi",255,"DG",3,FALSE,14.5,5.54126354515843,"DG",-0.5,5.30671949879197,14.7020249362229,15.1398458593979,5.44040960522085,14.9515828624326,15.0381795478198,14.6933192806224,15.4003360047269,"001",15.1145040075919,14.7553755710083,"255DG"
"19",19,"shh_14.5_05_187_DP","DUHi",122,14.5,187,14.341,"1/22/2014","DP",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","Y",179,"187DP",14.5,"1/22/2014","DUHi",163,"DH",4,TRUE,14.5,5.09375020080676,"DH",-0.5,4.89849575203671,13.9399979292057,14.3044773706534,5.00979078783564,14.1477512108309,14.2217559666086,13.8659885561882,14.5801416844042,"001",14.285464014067,13.986907969257,"163DH"
"20",20,"shh_14.5_05_199-207_FC","FVB",123,14.5,203,14.551,"4/23/14","FC",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"203FC",14.5,"1/22/2014","DUHi",196,"DH",4,FALSE,14.5,5.27811465923052,"DH",-0.5,5.08286021046047,14.284149139344,14.6486285807916,5.1941552462594,14.4919024209691,14.5645601747585,14.2195251480043,14.9193707827691,"001",14.6290669989849,14.3303021231019,"196DH"
"21",21,"shh_14.5_06_287_DP","DUHi",159,14.5,287,14.922,"03/04/14","DP",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","-",325,"287DP",15,"03/16/16","DUHi",284,"DAJ",4,FALSE,15,5.64897423816121,"DAJ",0,5.63477312593905,15.3143992177855,15.340908285739,5.64286775990568,15.329509386519,15.3273644092683,14.9878104445241,15.6866611392736,"001",15.3391353335129,15.3144499456749,"284DAJ"
"22",22,"shh_14.5_12_196-199_DH","DUHi",123,14.5,197.5,14.331,"1/22/2014","DH",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","-",202,"197.5DH",14.5,"1/22/2014","DUHi",196,"DH",4,FALSE,14.5,5.27811465923052,"DH",-0.5,5.08286021046047,14.284149139344,14.6486285807916,5.1941552462594,14.4919024209691,14.5645601747585,14.2195251480043,14.9193707827691,"001",14.6290669989849,14.3303021231019,"196DH"
"23",23,"shh_14.5_13_211-216_DH","DUHi",125,14.5,213.5,14.475,"1/22/2014","DH",1,0,0,0,0,1,"1_0_0_1","179_1_0_0_1","-",179,"213.5DH",14.5,"1/22/2014","DUHi",211,"DH",4,FALSE,14.5,5.35185813347607,"DH",-0.5,5.15660368470602,14.4218053129817,14.7862847544294,5.26789872050495,14.6295585946069,14.7011467359834,14.3582593505674,15.0567697254587,"001",14.766469158282,14.4676629978657,"211DH"
"24",24,"shh_14.5_15_209-216_DG","DUHi",126,14.5,212.5,14.396,"12/17/2013","DG",1,1,0,1,0,1,"1_1_1_1","202_1_1_1_1","Y",202,"212.5DG",14.5,"1/22/2014","DUHi",215,"DH",4,FALSE,14.5,5.37063802812766,"DH",-0.5,5.17538357935761,14.4568615463028,14.8213409877504,5.28667861515654,14.6646148279279,14.7361043803072,14.3940313662964,15.0921053862029,"001",14.8013891089303,14.5025749801744,"215DH"
"25",25,"shh_14.5_17_237-241_DH","DUHi",128,14.5,239,14.663,"1/22/2014","DH",0,2,0,1,0,1,"0_2_1_1","227_0_2_1_1","Y",227,"239DH",14.5,"1/22/2014","DUHi",237,"DH",4,FALSE,14.5,5.46806014113513,"DH",-0.5,5.27280569236508,14.6387183877591,15.0031978292068,5.38410072816401,14.8464716693843,14.9169402120899,14.5760058592316,15.2720920872789,"001",14.9826885882682,14.6840507256882,"237DH"
"26",26,"shh_14.5_31_203_FZ","FVB",476,14.5,203,14.478,"13/5/15","FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"203FZ",14.5,"5/13/2015","FVB",197,"FZ",4,FALSE,14.5,5.28320372873799,"FZ",-0.5,5.30338363408573,14.4240657019979,14.3804221184778,5.29188108803752,14.3991888593914,14.3999821057832,13.9829671871111,14.7946718463798,"001",14.3753803500575,14.4177928493698,"197FZ"
"27",27,"shh_14.5_33_208_FZ","FVB",478,14.5,208,14.548,"13/5/15","FZ",0,1,0,1,0,1,"0_1_1_1","199_0_1_1_1","-",199,"208FZ",14.5,"5/13/2015","FVB",207,"FZ",4,TRUE,14.5,5.33271879326537,"FZ",-0.5,5.35289869861311,14.5311531643506,14.4875095808304,5.3413961525649,14.5062763217441,14.507598057171,14.0928224583177,14.9028210431793,"001",14.4823543081907,14.5245030829132,"207FZ"
"28",28,"shh_14.5_37_226_FQ","FVB",447,14.5,226,14.876,"2/26/2015","FQ",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","y",325,"226FQ",14.5,"2/26/2015","FVB",223,"FQ",5,FALSE,14.5,5.40717177146012,"FQ",-0.5,5.53512127204427,14.9252504589491,14.6485308897103,5.4621900567113,14.767520304483,14.7041168030933,14.3018608441383,15.10195564802,"001",14.6570334945013,14.8848256085297,"223FQ"
"29",29,"shh_15.0_01_234_FD","FVB",529,15,234,14.707,"4/23/14","FD",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"234FD",15,"7/24/2014","FVB",246,"FC",5,FALSE,15,5.50533153593236,"FC",0,5.5401555141502,14.9361381396406,14.860823455272,5.52030584656603,14.8932087695505,14.8815705448807,14.4823369343217,15.2727518698788,"001",14.8577625743777,14.9311064759873,"246FC"
"30",30,"shh_15.0_02_246_FD","FVB",530,15,246,14.992,"4/23/14","FD",0,2,0,2,0,1,"0_2_2_1","325_0_2_2_1","Y",325,"246FD",15,"7/24/2014","FVB",256,"FD",5,TRUE,15,5.54517744447956,"FD",0,5.50593111588365,14.8621201817546,14.9469991933465,5.52830152318332,14.910501218362,14.9335710539563,14.5313503011266,15.3255567685555,"001",14.9339637442606,14.8694257438098,"256FD"
"31",31,"shh_15.0_04_217-218_DJ","DUHi",165,15,217.5,15.05,"1/30/2014","DJ",1,2,0,1,0,1,"1_2_1_1","227_1_2_1_1","-",227,"217.5DJ",15,"1/30/2014","DUHi",204,"DJ",5,FALSE,15,5.31811999384422,"DJ",0,5.43046392230357,14.9330173599443,14.7233061213382,5.36642788308174,14.8134819539388,14.771417518308,14.4194597292987,15.1175165126583,"001",14.7351350070359,14.9101529090484,"204DJ"
"32",32,"shh_15.0_07_234_DK","DUHi",185,15,234,14.797,"9/18/2014","DK",1,2,0,2,0,1,"1_2_2_1","235_1_2_2_1","-",235,"234DK",15,"9/18/2014","DUHi",235,"DT",5,FALSE,15,5.45958551414416,"DT",0,5.50047695456535,15.0637099564693,14.9873783314611,5.47716883352527,15.0202009302146,14.9964611120571,14.6426873417029,15.3468124984374,"001",14.9909169803629,15.0527469018898,"235DT"
"33",33,"shh_15.0_10_242_DK","DUHi",186,15,242,14.884,"9/18/2014","DK",0,2,0,1,1,1,"0_2_1_1","227_0_2_1_1","-",227,"242DK",15,"9/18/2014","DUHi",242,"DT",5,FALSE,15,5.48893772615669,"DT",0,5.52982916657788,15.1185014242539,15.0421697992457,5.5065210455378,15.0749923979992,15.0509410630631,14.6971477969452,15.4019708072481,"001",15.0457324233483,15.1069662952469,"242DT"
"34",34,"shh_15.5_04_457_DN","DUHi",219,15.5,457,15.807,"03/05/14","DN",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","-",325,"457DN",15.5,"3/12/2014","DUHi",456,"DN",4,FALSE,15.5,6.12249280951439,"DN",0.5,5.89774158495376,15.8052796953561,16.2248204602839,6.02584978295332,16.044417931365,16.1243403735975,15.7692021046197,16.5197635039876,"001",16.1971349762216,15.8548560237759,"456DN"
"35",35,"shh_15.5_10_380_DJ","DUHi",211,15.5,380,15.49,"03/14/14","DJ",0,2,0,2,1,1,"0_2_2_1","325_0_2_2_1","Y",325,"380DJ",15.5,"3/12/2014","DUHi",380,"DN",4,FALSE,15.5,5.94017125272043,"DN",0.5,5.71542002815981,15.4649419483663,15.8844827132941,5.84352822615936,15.7040801843752,15.786131119929,15.4375675326094,16.1689606963303,"001",15.857463599751,15.5152460608823,"380DN"
"36",36,"shh_16.0_02_402_FE","FVB",582,16,402,16.079,"7/31/2014","FE",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","Y",325,"402FE",16,"7/31/2014","FVB",402,"FF",5,FALSE,16,5.99645208861902,"FF",1,6.05820220623188,16.0565306134206,15.9229820972618,6.02300463919255,15.9804079592101,15.9542515335164,15.5476559495833,16.3737806277895,"001",15.9216699253416,16.0381022053679,"402FF"
"37",37,"shh_16.0_03_437_FE","FVB",586,16,437,16.238,"7/31/2014","FE",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"437FE",16,"7/31/2014","FVB",437,"FF",5,FALSE,16,6.07993319509559,"FF",1,6.14168331270845,16.2370772800219,16.1035287638631,6.10648574566912,16.1609546258114,16.1343932870616,15.724314492799,16.5640708579847,"001",16.1017678694392,16.2184978392108,"437FF"
"38",38,"shh_16.0_04_404_FE","FVB",583,16,404,16.084,"7/31/2014","FE",0,2,1,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"404FE",16,"7/31/2014","FVB",404,"FF",5,TRUE,16,6.00141487796115,"FF",1,6.06316499557401,16.0672637614416,15.9337152452828,6.02796742853468,15.9911411072311,15.9650048310959,15.558440669942,16.3852334280713,"001",15.9324889856732,16.0488486550362,"404FF"
"39",39,"shh_16.0_08_456_DO","DUHi",584,16,456,16.113,"3/20/14","DO",0,2,0,2,2,1,"0_2_2_1","325_0_2_2_1","-",325,"456DO",16,"7/31/2014","FVB",406,"FF",5,FALSE,16,6.00635315960173,"FF",1,6.0681032772146,16.0779439060465,15.9443953898877,6.03290571017526,16.001821251836,15.9756757858918,15.5688688040398,16.3963930940385,"001",15.9428958023799,16.0596111919282,"406FF"
"40",40,"shh_13.5_06_101_DQ","DUHi",31,13.5,101,13.581,"7/30/2014","DQ",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","Y",97,"101DQ",13.5,"7/30/2014","DUHi",101,"DQ",4,TRUE,13.5,4.61512051684126,"DQ",-1.5,4.72439036813055,13.6149972263849,13.4110243355449,4.66210655289565,13.4987326786061,13.4568794524308,13.0802209880492,13.816477626854,"001",13.4284214650383,13.5931075088057,"101DQ"
"41",41,"shh_13.0_06_102_FX","FVB",274,13,102,13.091,"05/12/15","FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"102FX",13,"5/12/2015","FVB",102,"FX",3,TRUE,13,4.62497281328427,"FX",-2,4.70026600878309,13.1196882037499,12.9568497359957,4.65734888734876,13.02687027713,12.9846870219465,12.5392333161127,13.4061546759927,"001",12.9574692954757,13.1085593474417,"102FX"
"42",42,"shh_14.0_21_105_DF","DUHi",63,14,105,13.651,"7/17/2014","DF",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105DF",14,"7/17/2014","DUHi",105,"DF",5,TRUE,14,4.65396035015752,"DF",-1,4.73668827473165,13.6379536002713,13.4835262469851,4.6895333577244,13.5499300088982,13.5218019354309,13.1391607468718,13.8827930173045,"001",13.4970307599019,13.6199406289837,"105DF"
"43",43,"shh_13.5_10_105_FK","FVB",291,13.5,105,13.62,"12/10/14","FK",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"105FK",13.5,"12/10/2014","FVB",105,"FK",4,TRUE,13.5,4.65396035015752,"FK",-1.5,4.96383685652918,13.6897194357532,13.0195418034147,4.78720724789734,13.3077181853203,13.1485230685354,12.6777632638912,13.5705288235198,"001",13.0497577576851,13.6096359905839,"105FK"
"44",44,"shh_13.5_13_107_DZ","DUHi",38,13.5,107,13.455,"11/19/2014","DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"107DZ",13.5,"11/19/2014","DUHi",107,"DZ",4,TRUE,13.5,4.67282883446191,"DZ",-1.5,4.63744987838145,13.4527063216575,13.5187478496864,4.65761588334731,13.490349992634,13.5092872105078,13.1365259168749,13.8678087359386,"001",13.5184753223649,13.4651226224853,"107DZ"
"45",45,"shh_13.0_07_108_FX","FVB",276,13,108,13.197,"05/12/15","FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"108FX",13,"5/12/2015","FVB",108,"FX",3,TRUE,13,4.68213122712422,"FX",-2,4.75742442262304,13.2433061278836,13.0804676601294,4.71450730118871,13.1504882012637,13.1088896440573,12.6699210585222,13.5273992855516,"001",13.0814671711787,13.2321870091925,"108FX"
"46",46,"shh_13.5_06_109_FI","FVB",642,13.5,109,13.423,"10/17/2014","FI",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"109FI",13.5,"10/17/2014","FVB",109,"FI",6,TRUE,13.5,4.69134788222914,"FI",-1.5,4.85891797127139,13.462808751452,13.100400749503,4.76340302051731,13.2562361903411,13.1760832646118,12.7212319257584,13.5925675801828,"001",13.1157982047798,13.4272197027412,"109FI"
"47",47,"shh_13.5_10_110_DZ","DUHi",40,13.5,110,13.506,"11/19/2014","DZ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"110DZ",13.5,"11/19/2014","DUHi",110,"DZ",4,TRUE,13.5,4.70048036579242,"DZ",-1.5,4.66510140971196,13.5043231465647,13.5703646745936,4.68526741467782,13.5419668175412,13.5605953936745,13.1901427314416,13.9176716784896,"001",13.5697579163164,13.5164077766534,"110DZ"
"48",48,"shh_13.5_14_112_FV","FVB",313,13.5,112,13.229,"4/30/2015","FV",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"112FV",13.5,"4/30/2015","FVB",112,"FV",5,TRUE,13.5,4.71849887129509,"FV",-1.5,4.74455609483251,13.2154754751123,13.1591208692724,4.72970347741618,13.1833533497836,13.1703075012864,12.7212645206345,13.5760786505118,"001",13.1553006677485,13.2069599470709,"112FV"
"49",49,"shh_14.0_13_113_DU","DUHi",83,14,113,13.841,"10/14/2014","DU",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"113DU",14,"10/14/2014","DUHi",113,"DU",3,TRUE,14,4.72738781871234,"DU",-1,4.85763550706346,13.8637245364145,13.6205925360985,4.78339432470332,13.7251392962344,13.6801078900383,13.3079756459772,14.0318489157186,"001",13.6346049937346,13.8341698828987,"113DU"
"50",50,"shh_14.0_06_117_DR","DUHi",72,14,117,13.635,"7/30/2014","DR",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"117DR",14,"7/30/2014","DUHi",117,"DR",4,TRUE,14,4.76217393479776,"DR",-1,4.71866712514937,13.6043137084513,13.6855274158967,4.74346600664895,13.6506055216951,13.6702727914276,13.2907741746774,14.0374127075175,"001",13.6837351862112,13.618533529033,"117DR"
"51",51,"shh_13.5_01_124_FA","FVB",278,13.5,124,13.38,"7/17/2014","FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"124FA",13.5,"7/17/2014","FVB",124,"FA",5,TRUE,13.5,4.82028156560504,"FA",-1.5,4.81557628760185,13.3690726135197,13.3792488353592,4.81825829606367,13.3748730599682,13.3810164184477,12.9434439592902,13.78178425299,"001",13.372721196118,13.3739557371256,"124FA"
"52",52,"shh_14.0_14_125_DU","DUHi",85,14,125,14.004,"10/14/2014","DU",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"125DU",14,"10/14/2014","DUHi",125,"DU",3,TRUE,14,4.8283137373023,"DU",-1,4.95856142565342,14.0521218951788,13.8089898948628,4.88432024329328,13.9135366549987,13.8675691294811,13.5036772363238,14.2138967551224,"001",13.8225215995404,14.0221254819291,"125DU"
"53",53,"shh_13.5_04_125_FA","FVB",279,13.5,125,13.394,"7/17/2014","FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"125FA",13.5,"7/17/2014","FVB",125,"FA",5,TRUE,13.5,4.8283137373023,"FA",-1.5,4.82360845929911,13.386443991149,13.3966202129884,4.82629046776093,13.3922444375975,13.398419582478,12.9621398454848,13.7993139570602,"001",13.3900600056426,13.3910984384137,"125FA"
"54",54,"shh_14.0_26_126_DAA","DUHi",49,14,126,13.955,"05/12/14","DAA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","y",123,"126DAA",14,"5/12/2014","DUHi",126,"DAA",2,TRUE,14,4.83628190695148,"DAA",-1,4.91479585568318,13.9704251625416,13.8238639939749,4.87004290490611,13.8868852964586,13.8575161714301,13.4831446673003,14.20529085739,"001",13.8354127290067,13.9473997918519,"126DAA"
"55",55,"shh_13.5_02_127_FA","FVB",280,13.5,127,13.432,"7/17/2014","FA",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","Y",123,"127FA",13.5,"7/17/2014","FVB",127,"FA",5,TRUE,13.5,4.84418708645859,"FA",-1.5,4.8394818084554,13.420773678415,13.4309499002545,4.84216381691722,13.4265741248635,13.4327331502143,12.9983277158974,13.833290385881,"001",13.4245352271253,13.4252591247798,"127FA"
"56",56,"shh_13.5_20_127_FV","FVB",316,13.5,127,13.473,"4/30/2015","FV",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"127FV",13.5,"4/30/2015","FVB",127,"FV",5,TRUE,13.5,4.84418708645859,"FV",-1.5,4.87024430999601,13.4873045060944,13.4309499002545,4.85539169257968,13.4551823807656,13.4434665586406,13.0071461728198,13.8425871768968,"001",13.4273497273551,13.4780596415572,"127FV"
"57",57,"shh_14.0_02_128_DD","DUHi",58,14,128,14.255,"1/20/2014","DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,"128DD"
"58",58,"shh_14.0_02_128_DD","DUHi",59,14,128,14.255,"1/20/2014","DD",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"128DD",14,"1/20/2014","DUHi",128,"DD",2,TRUE,14,4.85203026391962,"DD",-1,5.09331880014331,14.3036720795379,13.8532612875456,4.95578433449581,14.0469379281023,13.9558622073914,13.5896782953756,14.2986571305109,"001",13.8812891701827,14.2449842108505,"128DD"
"59",59,"shh_14.0_07_130_FJ","FVB",370,14,130,14.247,"1/20/2014","FJ",2,0,0,0,0,0,"2_0_0_0","123_2_0_0_0","-",123,"130FJ",14,"12/8/2014","FVB",130,"FJ",2,TRUE,14,4.86753445045558,"FJ",-1,5.00520558202987,13.7791886079519,13.4814438254251,4.92673303703253,13.6094740819116,13.5428571466073,13.098090139261,13.9523929174654,"001",13.4896868208095,13.744934375905,"130FJ"
